symbol
RELIANCE.NS
TCS.NS
HDFCBANK.NS
ICICIBANK.NS
INFY.NS
ITC.NS
SBIN.NS
BHARTIARTL.NS
LT.NS
KOTAKBANK.NS
AXISBANK.NS
ASIANPAINT.NS
MARUTI.NS
SUNPHARMA.NS
BAJFINANCE.NS
HCLTECH.NS
WIPRO.NS
ULTRACEMCO.NS
NESTLEIND.NS
TITAN.NS
POWERGRID.NS
NTPC.NS
M&M.NS
TECHM.NS
TATAMOTORS.NS
TATASTEEL.NS
JSWSTEEL.NS
HINDUNILVR.NS
ADANIENT.NS
ADANIPORTS.NS
ONGC.NS
COALINDIA.NS
INDUSINDBK.NS
BAJAJFINSV.NS
BAJAJFINANCE.NS
BAJAJ-AUTO.NS
HEROMOTOCO.NS
DRREDDY.NS
CIPLA.NS
DIVISLAB.NS
EICHERMOT.NS
GRASIM.NS
HDFCLIFE.NS
SBILIFE.NS
BRITANNIA.NS
APOLLOHOSP.NS
BPCL.NS
SHRIRAMFIN.NS
TATACONSUM.NS
UPL.NS
PIDILITIND.NS
HINDALCO.NS
INDIGO.NS
ADANIGREEN.NS
ADANIPOWER.NS
ADANIENSOL.NS
GODREJCP.NS
DABUR.NS
SIEMENS.NS
AMBUJACEM.NS
ACC.NS
BANKBARODA.NS
PNB.NS
CANBK.NS
UNIONBANK.NS
IOB.NS
IDBI.NS
FEDERALBNK.NS
BANDHANBNK.NS
IDFCFIRSTB.NS
YESBANK.NS
SAIL.NS
JINDALSTEL.NS
VEDL.NS
HINDZINC.NS
NMDC.NS
NATIONALUM.NS
VEDANTA.NS
GAIL.NS
IOC.NS
HINDPETRO.NS
PETRONET.NS
OIL.NS
MGL.NS
IGL.NS
TORNTPHARM.NS
LUPIN.NS
AUROPHARMA.NS
ALKEM.NS
BIOCON.NS
ZYDUSLIFE.NS
ABBOTINDIA.NS
GLENMARK.NS
MANKIND.NS
PAGEIND.NS
TRENT.NS
DMART.NS
VBL.NS
COLPAL.NS
MARICO.NS
UBL.NS
UNITDSPR.NS
TATAPOWER.NS
BHEL.NS
BEL.NS
HAL.NS
BDL.NS
ZOMATO.NS
PAYTM.NS
IRCTC.NS
RVNL.NS
IRFC.NS
NBCC.NS
NHPC.NS
SJVN.NS
PFC.NS
RECLTD.NS
POWERINDIA.NS
CUMMINSIND.NS
ABB.NS
CGPOWER.NS
SUZLON.NS
VOLTAS.NS
HAVELLS.NS
DIXON.NS
POLYCAB.NS
KEI.NS
BOSCHLTD.NS
MOTHERSON.NS
BALKRISIND.NS
ASHOKLEY.NS
TVSMOTOR.NS
MRF.NS
EXIDEIND.NS
AMARAJABAT.NS
ESCORTS.NS
BHARATFORG.NS
TIINDIA.NS
SONACOMS.NS
LICI.NS
SBICARD.NS
CHOLAFIN.NS
MUTHOOTFIN.NS
PEL.NS
MPHASIS.NS
PERSISTENT.NS
LTIM.NS
COFORGE.NS
OFSS.NS
LTTS.NS
TATAELXSI.NS
KPITTECH.NS
NAUKRI.NS
INFOEDGE.NS
PBFINTECH.NS
NYKAA.NS
DELHIVERY.NS
INDIAMART.NS
POLICYBZR.NS
GODREJPROP.NS
DLF.NS
LODHA.NS
OBEROIRLTY.NS
PHOENIXLTD.NS
PRESTIGE.NS
BRIGADE.NS
SUNTV.NS
ZEEL.NS
PVRINOX.NS
INOXWIND.NS
TATACOMM.NS
IDEA.NS
HFCL.NS
RAILTEL.NS
GMRINFRA.NS
IRB.NS
JKCEMENT.NS
RAMCOCEM.NS
DALBHARAT.NS
SHREECEM.NS
ASTRAL.NS
KANSAINER.NS
BERGEPAINT.NS
DEEPAKNTR.NS
AARTIIND.NS
SRF.NS
PIIND.NS
NAVINFLUOR.NS
COROMANDEL.NS
CHAMBLFERT.NS
GNFC.NS
GUJGASLTD.NS
ATUL.NS
TATACHEM.NS
GUJALKALI.NS
APLAPOLLO.NS
JSWINFRA.NS
CONCOR.NS
CONCORDBIO.NS
ADANITRANS.NS
MCX.NS
BSE.NS
CDSL.NS
ISEC.NS
ANGELONE.NS
MOTILALOFS.NS
360ONE.NS
KPRMILL.NS
RAYMOND.NS
ABFRL.NS
JUBLFOOD.NS
MCDOWELL-N.NS
LALPATHLAB.NS
METROPOLIS.NS
FORTIS.NS
MAXHEALTH.NS
AUBANK.NS
RBLBANK.NS
KALYANKJIL.NS
MANAPPURAM.NS
FLUOROCHEM.NS
CROMPTON.NS
WHIRLPOOL.NS
